S.No.,Username,Email,Account Type
1,IIT2021001,iit2021001@iiita.ac.in,student
2,IIT2021002,iit2021002@iiita.ac.in,student
3,IIT2021003,iit2021003@iiita.ac.in,student
4,IIT2021004,iit2021004@iiita.ac.in,student
5,IIT2021005,iit2021005@iiita.ac.in,student
6,IIT2021006,iit2021006@iiita.ac.in,student
7,IIT2021007,iit2021007@iiita.ac.in,student
8,IIT2021008,iit2021008@iiita.ac.in,student
9,IIT2021009,iit2021009@iiita.ac.in,student
10,IIT2021010,iit2021010@iiita.ac.in,student
11,Amazon,djangonotification@gmail.com,company
12,Flipkart,tarun.database@gmail.com,company
